event_id,user_id,event_time,event_name,step_order,acquisition_channel,campaign
E000001,U00001,2026-02-05 14:14:00,site_visit,1,YouTube,yt_pre_roll
E000002,U00001,2026-02-05 14:17:00,pricing_page_view,1,YouTube,yt_pre_roll
E000003,U00001,2026-02-05 14:48:00,test_started,2,YouTube,yt_pre_roll
E000004,U00001,2026-02-05 15:13:00,test_completed,3,YouTube,yt_pre_roll
E000005,U00001,2026-02-05 17:48:00,registration,4,YouTube,yt_pre_roll
E000006,U00001,2026-02-06 04:48:00,trial_booked,5,YouTube,yt_pre_roll
E000007,U00001,2026-02-09 16:48:00,trial_attended,6,YouTube,yt_pre_roll
E000008,U00002,2026-01-14 09:24:00,site_visit,1,Partner Referral,partner_hr_benefit
E000009,U00003,2026-03-21 18:36:00,site_visit,1,YouTube,yt_long_form
E000010,U00004,2026-01-21 18:22:00,site_visit,1,TikTok,tt_short_lessons
E000011,U00004,2026-01-21 18:30:00,pricing_page_view,1,TikTok,tt_short_lessons
E000012,U00004,2026-01-21 18:48:00,test_started,2,TikTok,tt_short_lessons
E000013,U00004,2026-01-21 19:16:00,test_completed,3,TikTok,tt_short_lessons
E000014,U00004,2026-01-21 20:44:00,registration,4,TikTok,tt_short_lessons
E000015,U00005,2026-02-10 19:17:00,site_visit,1,TikTok,tt_viral_test
E000016,U00006,2026-02-01 15:47:00,site_visit,1,Instagram,ig_reels_beginner
E000017,U00006,2026-02-01 15:52:00,test_started,2,Instagram,ig_reels_beginner
E000018,U00006,2026-02-01 16:04:00,test_completed,3,Instagram,ig_reels_beginner
E000019,U00006,2026-02-01 17:46:00,registration,4,Instagram,ig_reels_beginner
E000020,U00007,2026-01-02 10:43:00,site_visit,1,TikTok,tt_discount_challenge
E000021,U00007,2026-01-02 10:44:00,pricing_page_view,1,TikTok,tt_discount_challenge
E000022,U00008,2026-01-23 10:55:00,site_visit,1,TikTok,tt_discount_challenge
E000023,U00008,2026-01-23 11:12:00,pricing_page_view,1,TikTok,tt_discount_challenge
E000024,U00009,2026-02-16 16:15:00,site_visit,1,TikTok,tt_viral_test
E000025,U00009,2026-02-16 16:33:00,pricing_page_view,1,TikTok,tt_viral_test
E000026,U00009,2026-02-16 18:21:00,registration,4,TikTok,tt_viral_test
E000027,U00009,2026-02-19 14:21:00,plan_selected,7,TikTok,tt_viral_test
E000028,U00010,2026-03-30 13:45:00,site_visit,1,YouTube,yt_long_form
E000029,U00010,2026-03-30 13:53:00,pricing_page_view,1,YouTube,yt_long_form
E000030,U00010,2026-03-30 13:48:00,test_started,2,YouTube,yt_long_form
E000031,U00010,2026-03-30 14:03:00,test_completed,3,YouTube,yt_long_form
E000032,U00010,2026-03-30 16:49:00,registration,4,YouTube,yt_long_form
E000033,U00010,2026-03-30 19:49:00,trial_booked,5,YouTube,yt_long_form
E000034,U00010,2026-04-01 11:49:00,trial_attended,6,YouTube,yt_long_form
E000035,U00010,2026-04-02 07:49:00,plan_selected,7,YouTube,yt_long_form
E000036,U00010,2026-04-02 09:07:00,payment_success,8,YouTube,yt_long_form
E000037,U00011,2026-02-22 13:06:00,site_visit,1,TikTok,tt_short_lessons
E000038,U00011,2026-02-22 14:54:00,registration,4,TikTok,tt_short_lessons
E000039,U00012,2026-01-25 21:08:00,site_visit,1,Instagram,ig_reels_beginner
E000040,U00012,2026-01-25 21:13:00,test_started,2,Instagram,ig_reels_beginner
E000041,U00012,2026-01-25 21:38:00,test_completed,3,Instagram,ig_reels_beginner
E000042,U00013,2026-03-03 13:55:00,site_visit,1,Instagram,ig_story_discount
E000043,U00013,2026-03-03 14:24:00,test_started,2,Instagram,ig_story_discount
E000044,U00013,2026-03-03 14:55:00,test_completed,3,Instagram,ig_story_discount
E000045,U00014,2026-01-25 16:13:00,site_visit,1,Google Ads,ga_brand
E000046,U00014,2026-01-25 16:48:00,test_started,2,Google Ads,ga_brand
E000047,U00014,2026-01-25 17:12:00,test_completed,3,Google Ads,ga_brand
E000048,U00014,2026-01-25 18:17:00,registration,4,Google Ads,ga_brand
E000049,U00014,2026-01-27 07:17:00,trial_booked,5,Google Ads,ga_brand
E000050,U00014,2026-02-01 15:17:00,trial_attended,6,Google Ads,ga_brand
E000051,U00015,2026-03-14 17:59:00,site_visit,1,TikTok,tt_discount_challenge
E000052,U00015,2026-03-14 18:05:00,test_started,2,TikTok,tt_discount_challenge
E000053,U00015,2026-03-14 18:32:00,test_completed,3,TikTok,tt_discount_challenge
E000054,U00016,2026-03-06 15:08:00,site_visit,1,Instagram,ig_reels_beginner
E000055,U00017,2026-03-09 07:42:00,site_visit,1,Partner Referral,partner_creator
E000056,U00017,2026-03-09 07:46:00,pricing_page_view,1,Partner Referral,partner_creator
E000057,U00017,2026-03-09 07:53:00,test_started,2,Partner Referral,partner_creator
E000058,U00017,2026-03-09 08:20:00,test_completed,3,Partner Referral,partner_creator
E000059,U00017,2026-03-09 10:34:00,registration,4,Partner Referral,partner_creator
E000060,U00017,2026-03-09 14:34:00,trial_booked,5,Partner Referral,partner_creator
E000061,U00018,2026-01-17 15:10:00,site_visit,1,Instagram,ig_story_discount
E000062,U00019,2026-03-12 11:27:00,site_visit,1,Telegram,tg_webinar_invite
E000063,U00019,2026-03-12 11:44:00,test_started,2,Telegram,tg_webinar_invite
E000064,U00019,2026-03-12 12:03:00,test_completed,3,Telegram,tg_webinar_invite
E000065,U00020,2026-01-20 14:55:00,site_visit,1,TikTok,tt_discount_challenge
E000066,U00021,2026-02-01 15:10:00,site_visit,1,Google Ads,ga_competitor
E000067,U00021,2026-02-01 15:31:00,test_started,2,Google Ads,ga_competitor
E000068,U00022,2026-01-25 19:21:00,site_visit,1,TikTok,tt_discount_challenge
E000069,U00023,2026-01-23 15:02:00,site_visit,1,Instagram,ig_story_discount
E000070,U00023,2026-01-23 15:40:00,test_started,2,Instagram,ig_story_discount
E000071,U00023,2026-01-23 15:49:00,test_completed,3,Instagram,ig_story_discount
E000072,U00023,2026-01-23 18:45:00,registration,4,Instagram,ig_story_discount
E000073,U00023,2026-01-25 13:45:00,trial_booked,5,Instagram,ig_story_discount
E000074,U00023,2026-01-31 02:45:00,trial_attended,6,Instagram,ig_story_discount
E000075,U00024,2026-03-06 16:42:00,site_visit,1,Instagram,ig_story_discount
E000076,U00025,2026-02-21 07:19:00,site_visit,1,YouTube,yt_teacher_expert
E000077,U00025,2026-02-21 07:51:00,test_started,2,YouTube,yt_teacher_expert
E000078,U00025,2026-02-21 08:24:00,test_completed,3,YouTube,yt_teacher_expert
E000079,U00025,2026-02-21 09:41:00,registration,4,YouTube,yt_teacher_expert
E000080,U00025,2026-02-22 07:41:00,trial_booked,5,YouTube,yt_teacher_expert
E000081,U00026,2026-01-19 07:02:00,site_visit,1,TikTok,tt_viral_test
E000082,U00026,2026-01-19 07:28:00,test_started,2,TikTok,tt_viral_test
E000083,U00026,2026-01-19 07:43:00,test_completed,3,TikTok,tt_viral_test
E000084,U00027,2026-01-29 12:51:00,site_visit,1,Telegram,tg_community_native
E000085,U00028,2026-02-10 21:39:00,site_visit,1,Partner Referral,partner_creator
E000086,U00028,2026-02-10 21:55:00,pricing_page_view,1,Partner Referral,partner_creator
E000087,U00028,2026-02-10 21:56:00,test_started,2,Partner Referral,partner_creator
E000088,U00028,2026-02-10 22:12:00,test_completed,3,Partner Referral,partner_creator
E000089,U00028,2026-02-11 00:57:00,registration,4,Partner Referral,partner_creator
E000090,U00028,2026-02-12 22:57:00,trial_booked,5,Partner Referral,partner_creator
E000091,U00028,2026-02-16 11:57:00,trial_attended,6,Partner Referral,partner_creator
E000092,U00028,2026-02-13 22:57:00,plan_selected,7,Partner Referral,partner_creator
E000093,U00028,2026-02-13 23:51:00,payment_success,8,Partner Referral,partner_creator
E000094,U00029,2026-02-23 20:21:00,site_visit,1,Google Ads,ga_brand
E000095,U00030,2026-03-03 07:22:00,site_visit,1,Google Ads,ga_search_english_course
E000096,U00031,2026-02-25 22:01:00,site_visit,1,TikTok,tt_short_lessons
E000097,U00032,2026-03-14 07:05:00,site_visit,1,Partner Referral,partner_creator
E000098,U00032,2026-03-14 07:16:00,pricing_page_view,1,Partner Referral,partner_creator
E000099,U00032,2026-03-14 07:31:00,test_started,2,Partner Referral,partner_creator
E000100,U00032,2026-03-14 08:05:00,test_completed,3,Partner Referral,partner_creator
E000101,U00032,2026-03-14 08:23:00,registration,4,Partner Referral,partner_creator
E000102,U00032,2026-03-14 17:23:00,plan_selected,7,Partner Referral,partner_creator
E000103,U00033,2026-01-03 11:15:00,site_visit,1,Partner Referral,partner_blog
E000104,U00033,2026-01-03 11:55:00,test_started,2,Partner Referral,partner_blog
E000105,U00034,2026-02-09 10:37:00,site_visit,1,Google Ads,ga_brand
E000106,U00034,2026-02-09 11:19:00,test_started,2,Google Ads,ga_brand
E000107,U00034,2026-02-09 11:49:00,test_completed,3,Google Ads,ga_brand
E000108,U00035,2026-03-14 08:22:00,site_visit,1,YouTube,yt_pre_roll
E000109,U00035,2026-03-14 08:51:00,test_started,2,YouTube,yt_pre_roll
E000110,U00036,2026-01-20 20:11:00,site_visit,1,Telegram,tg_webinar_invite
E000111,U00036,2026-01-20 20:50:00,test_started,2,Telegram,tg_webinar_invite
E000112,U00036,2026-01-20 21:25:00,test_completed,3,Telegram,tg_webinar_invite
E000113,U00036,2026-01-20 23:28:00,registration,4,Telegram,tg_webinar_invite
E000114,U00037,2026-02-11 12:31:00,site_visit,1,TikTok,tt_short_lessons
E000115,U00037,2026-02-11 12:45:00,test_started,2,TikTok,tt_short_lessons
E000116,U00037,2026-02-11 13:16:00,test_completed,3,TikTok,tt_short_lessons
E000117,U00038,2026-03-24 22:28:00,site_visit,1,TikTok,tt_short_lessons
E000118,U00038,2026-03-24 23:03:00,test_started,2,TikTok,tt_short_lessons
E000119,U00038,2026-03-24 23:34:00,test_completed,3,TikTok,tt_short_lessons
E000120,U00038,2026-03-25 00:38:00,registration,4,TikTok,tt_short_lessons
E000121,U00038,2026-03-25 08:38:00,trial_booked,5,TikTok,tt_short_lessons
E000122,U00038,2026-03-27 19:38:00,trial_attended,6,TikTok,tt_short_lessons
E000123,U00038,2026-03-27 14:38:00,plan_selected,7,TikTok,tt_short_lessons
E000124,U00039,2026-01-25 16:14:00,site_visit,1,YouTube,yt_pre_roll
E000125,U00039,2026-01-25 16:24:00,pricing_page_view,1,YouTube,yt_pre_roll
E000126,U00039,2026-01-25 16:24:00,test_started,2,YouTube,yt_pre_roll
E000127,U00039,2026-01-25 16:56:00,test_completed,3,YouTube,yt_pre_roll
E000128,U00040,2026-03-03 21:21:00,site_visit,1,YouTube,yt_teacher_expert
E000129,U00040,2026-03-03 22:03:00,test_started,2,YouTube,yt_teacher_expert
E000130,U00040,2026-03-03 22:15:00,test_completed,3,YouTube,yt_teacher_expert
E000131,U00041,2026-03-19 14:49:00,site_visit,1,Instagram,ig_story_discount
E000132,U00042,2026-03-22 13:16:00,site_visit,1,Google Ads,ga_brand
E000133,U00042,2026-03-22 13:36:00,test_started,2,Google Ads,ga_brand
E000134,U00042,2026-03-22 13:53:00,test_completed,3,Google Ads,ga_brand
E000135,U00043,2026-01-30 15:50:00,site_visit,1,TikTok,tt_discount_challenge
E000136,U00043,2026-01-30 16:09:00,test_started,2,TikTok,tt_discount_challenge
E000137,U00043,2026-01-30 16:56:00,registration,4,TikTok,tt_discount_challenge
E000138,U00044,2026-02-26 10:29:00,site_visit,1,Telegram,tg_community_native
E000139,U00044,2026-02-26 10:31:00,pricing_page_view,1,Telegram,tg_community_native
E000140,U00045,2026-01-12 14:43:00,site_visit,1,YouTube,yt_pre_roll
E000141,U00045,2026-01-12 14:56:00,test_started,2,YouTube,yt_pre_roll
E000142,U00045,2026-01-12 15:24:00,test_completed,3,YouTube,yt_pre_roll
E000143,U00045,2026-01-12 17:34:00,registration,4,YouTube,yt_pre_roll
E000144,U00045,2026-01-14 22:34:00,plan_selected,7,YouTube,yt_pre_roll
E000145,U00046,2026-03-05 16:42:00,site_visit,1,TikTok,tt_discount_challenge
E000146,U00047,2026-03-26 21:26:00,site_visit,1,YouTube,yt_pre_roll
E000147,U00047,2026-03-26 21:35:00,pricing_page_view,1,YouTube,yt_pre_roll
E000148,U00047,2026-03-26 21:46:00,test_started,2,YouTube,yt_pre_roll
E000149,U00047,2026-03-26 22:16:00,test_completed,3,YouTube,yt_pre_roll
E000150,U00047,2026-03-27 01:02:00,registration,4,YouTube,yt_pre_roll
E000151,U00047,2026-03-27 22:02:00,plan_selected,7,YouTube,yt_pre_roll
E000152,U00047,2026-03-27 22:59:00,payment_success,8,YouTube,yt_pre_roll
E000153,U00048,2026-03-01 10:41:00,site_visit,1,Partner Referral,partner_blog
E000154,U00048,2026-03-01 13:07:00,registration,4,Partner Referral,partner_blog
E000155,U00048,2026-03-03 04:07:00,trial_booked,5,Partner Referral,partner_blog
E000156,U00048,2026-03-05 13:07:00,trial_attended,6,Partner Referral,partner_blog
E000157,U00048,2026-03-03 19:07:00,plan_selected,7,Partner Referral,partner_blog
E000158,U00049,2026-02-08 22:55:00,site_visit,1,Instagram,ig_lookalike_students
E000159,U00049,2026-02-08 23:09:00,test_started,2,Instagram,ig_lookalike_students
E000160,U00049,2026-02-09 00:52:00,registration,4,Instagram,ig_lookalike_students
E000161,U00049,2026-02-09 03:52:00,trial_booked,5,Instagram,ig_lookalike_students
E000162,U00049,2026-02-13 17:52:00,trial_attended,6,Instagram,ig_lookalike_students
E000163,U00050,2026-01-20 22:02:00,site_visit,1,Google Ads,ga_competitor
E000164,U00050,2026-01-20 22:17:00,pricing_page_view,1,Google Ads,ga_competitor
E000165,U00050,2026-01-20 22:13:00,test_started,2,Google Ads,ga_competitor
E000166,U00050,2026-01-20 22:41:00,test_completed,3,Google Ads,ga_competitor
E000167,U00050,2026-01-21 01:25:00,registration,4,Google Ads,ga_competitor
E000168,U00051,2026-03-10 19:20:00,site_visit,1,Telegram,tg_webinar_invite
E000169,U00051,2026-03-10 19:40:00,test_started,2,Telegram,tg_webinar_invite
E000170,U00052,2026-03-23 10:28:00,site_visit,1,TikTok,tt_viral_test
E000171,U00052,2026-03-23 10:45:00,test_started,2,TikTok,tt_viral_test
E000172,U00052,2026-03-23 11:11:00,test_completed,3,TikTok,tt_viral_test
E000173,U00052,2026-03-23 12:00:00,registration,4,TikTok,tt_viral_test
E000174,U00052,2026-03-25 04:00:00,trial_booked,5,TikTok,tt_viral_test
E000175,U00052,2026-03-29 21:00:00,trial_attended,6,TikTok,tt_viral_test
E000176,U00053,2026-02-28 15:42:00,site_visit,1,TikTok,tt_short_lessons
E000177,U00053,2026-02-28 16:21:00,test_started,2,TikTok,tt_short_lessons
E000178,U00053,2026-02-28 16:42:00,test_completed,3,TikTok,tt_short_lessons
E000179,U00054,2026-01-31 19:36:00,site_visit,1,Telegram,tg_channel_post
E000180,U00054,2026-01-31 20:21:00,test_started,2,Telegram,tg_channel_post
E000181,U00054,2026-01-31 20:30:00,test_completed,3,Telegram,tg_channel_post
E000182,U00054,2026-01-31 21:48:00,registration,4,Telegram,tg_channel_post
E000183,U00054,2026-02-02 19:48:00,plan_selected,7,Telegram,tg_channel_post
E000184,U00054,2026-02-02 20:25:00,payment_success,8,Telegram,tg_channel_post
E000185,U00055,2026-03-29 11:40:00,site_visit,1,Google Ads,ga_competitor
E000186,U00055,2026-03-29 12:00:00,test_started,2,Google Ads,ga_competitor
E000187,U00055,2026-03-29 12:21:00,test_completed,3,Google Ads,ga_competitor
E000188,U00056,2026-01-22 15:58:00,site_visit,1,YouTube,yt_teacher_expert
E000189,U00056,2026-01-22 16:01:00,pricing_page_view,1,YouTube,yt_teacher_expert
E000190,U00056,2026-01-22 16:14:00,test_started,2,YouTube,yt_teacher_expert
E000191,U00056,2026-01-22 16:45:00,test_completed,3,YouTube,yt_teacher_expert
E000192,U00056,2026-01-22 19:12:00,registration,4,YouTube,yt_teacher_expert
E000193,U00056,2026-01-22 20:12:00,trial_booked,5,YouTube,yt_teacher_expert
E000194,U00056,2026-01-24 11:12:00,trial_attended,6,YouTube,yt_teacher_expert
E000195,U00057,2026-03-16 19:52:00,site_visit,1,Google Ads,ga_search_english_course
E000196,U00057,2026-03-16 20:33:00,test_started,2,Google Ads,ga_search_english_course
E000197,U00057,2026-03-16 20:43:00,test_completed,3,Google Ads,ga_search_english_course
E000198,U00057,2026-03-16 21:17:00,registration,4,Google Ads,ga_search_english_course
E000199,U00057,2026-03-17 17:17:00,trial_booked,5,Google Ads,ga_search_english_course
E000200,U00057,2026-03-19 02:17:00,trial_attended,6,Google Ads,ga_search_english_course
E000201,U00058,2026-02-28 18:42:00,site_visit,1,YouTube,yt_teacher_expert
E000202,U00058,2026-02-28 19:15:00,test_started,2,YouTube,yt_teacher_expert
E000203,U00058,2026-02-28 19:31:00,test_completed,3,YouTube,yt_teacher_expert
E000204,U00058,2026-02-28 21:29:00,registration,4,YouTube,yt_teacher_expert
E000205,U00058,2026-03-01 21:29:00,trial_booked,5,YouTube,yt_teacher_expert
E000206,U00058,2026-03-02 19:29:00,plan_selected,7,YouTube,yt_teacher_expert
E000207,U00058,2026-03-02 19:49:00,payment_success,8,YouTube,yt_teacher_expert
E000208,U00059,2026-03-26 13:41:00,site_visit,1,Telegram,tg_channel_post
E000209,U00059,2026-03-26 14:18:00,test_started,2,Telegram,tg_channel_post
E000210,U00059,2026-03-26 14:32:00,test_completed,3,Telegram,tg_channel_post
E000211,U00060,2026-01-19 11:34:00,site_visit,1,YouTube,yt_teacher_expert
E000212,U00060,2026-01-19 11:56:00,test_started,2,YouTube,yt_teacher_expert
E000213,U00060,2026-01-19 12:12:00,test_completed,3,YouTube,yt_teacher_expert
E000214,U00061,2026-01-09 22:28:00,site_visit,1,YouTube,yt_long_form
E000215,U00061,2026-01-09 22:45:00,pricing_page_view,1,YouTube,yt_long_form
E000216,U00061,2026-01-09 23:11:00,test_started,2,YouTube,yt_long_form
E000217,U00061,2026-01-10 01:18:00,registration,4,YouTube,yt_long_form
E000218,U00062,2026-02-26 09:57:00,site_visit,1,Instagram,ig_lookalike_students
E000219,U00062,2026-02-26 10:37:00,test_started,2,Instagram,ig_lookalike_students
E000220,U00062,2026-02-26 10:59:00,test_completed,3,Instagram,ig_lookalike_students
E000221,U00062,2026-02-26 13:51:00,registration,4,Instagram,ig_lookalike_students
E000222,U00063,2026-02-25 21:56:00,site_visit,1,Google Ads,ga_brand
E000223,U00063,2026-02-25 22:21:00,test_started,2,Google Ads,ga_brand
E000224,U00064,2026-01-11 09:27:00,site_visit,1,TikTok,tt_viral_test
E000225,U00064,2026-01-11 09:36:00,test_started,2,TikTok,tt_viral_test
E000226,U00064,2026-01-11 10:11:00,test_completed,3,TikTok,tt_viral_test
E000227,U00065,2026-01-07 16:38:00,site_visit,1,Telegram,tg_webinar_invite
E000228,U00065,2026-01-07 17:15:00,test_started,2,Telegram,tg_webinar_invite
E000229,U00065,2026-01-07 17:47:00,test_completed,3,Telegram,tg_webinar_invite
E000230,U00065,2026-01-07 20:31:00,registration,4,Telegram,tg_webinar_invite
E000231,U00066,2026-03-30 15:01:00,site_visit,1,Instagram,ig_lookalike_students
E000232,U00066,2026-03-30 15:28:00,test_started,2,Instagram,ig_lookalike_students
E000233,U00066,2026-03-30 15:59:00,test_completed,3,Instagram,ig_lookalike_students
E000234,U00066,2026-03-30 18:19:00,registration,4,Instagram,ig_lookalike_students
E000235,U00066,2026-03-31 16:19:00,trial_booked,5,Instagram,ig_lookalike_students
E000236,U00067,2026-03-18 09:56:00,site_visit,1,Google Ads,ga_competitor
