user_id,first_visit_at,acquisition_channel,campaign,device,age_group,country,landing_page,user_goal
U00001,2026-02-05 14:14:00,YouTube,yt_pre_roll,mobile,18-24,Austria,trial_lesson,exam
U00002,2026-01-14 09:24:00,Partner Referral,partner_hr_benefit,mobile,35-44,Germany,grammar_materials,relocation
U00003,2026-03-21 18:36:00,YouTube,yt_long_form,mobile,18-24,Germany,grammar_materials,school_university
U00004,2026-01-21 18:22:00,TikTok,tt_short_lessons,mobile,18-24,Other EU,pricing,exam
U00005,2026-02-10 19:17:00,TikTok,tt_viral_test,mobile,35-44,Germany,pricing,career
U00006,2026-02-01 15:47:00,Instagram,ig_reels_beginner,mobile,35-44,Germany,level_test,school_university
U00007,2026-01-02 10:43:00,TikTok,tt_discount_challenge,desktop,25-34,Austria,level_test,travel
U00008,2026-01-23 10:55:00,TikTok,tt_discount_challenge,mobile,35-44,Germany,level_test,travel
U00009,2026-02-16 16:15:00,TikTok,tt_viral_test,mobile,35-44,Other EU,level_test,exam
U00010,2026-03-30 13:45:00,YouTube,yt_long_form,mobile,45+,Germany,trial_lesson,exam
U00011,2026-02-22 13:06:00,TikTok,tt_short_lessons,mobile,18-24,Germany,trial_lesson,relocation
U00012,2026-01-25 21:08:00,Instagram,ig_reels_beginner,mobile,18-24,Germany,speaking_club,travel
U00013,2026-03-03 13:55:00,Instagram,ig_story_discount,mobile,18-24,Germany,speaking_club,career
U00014,2026-01-25 16:13:00,Google Ads,ga_brand,tablet,25-34,Germany,pricing,career
U00015,2026-03-14 17:59:00,TikTok,tt_discount_challenge,mobile,25-34,Germany,level_test,career
U00016,2026-03-06 15:08:00,Instagram,ig_reels_beginner,tablet,35-44,Poland,level_test,career
U00017,2026-03-09 07:42:00,Partner Referral,partner_creator,desktop,25-34,Germany,speaking_club,career
U00018,2026-01-17 15:10:00,Instagram,ig_story_discount,desktop,25-34,Germany,level_test,career
U00019,2026-03-12 11:27:00,Telegram,tg_webinar_invite,mobile,25-34,Poland,grammar_materials,conversation
U00020,2026-01-20 14:55:00,TikTok,tt_discount_challenge,mobile,25-34,Germany,level_test,career
U00021,2026-02-01 15:10:00,Google Ads,ga_competitor,desktop,18-24,Poland,grammar_materials,career
